timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476251539,1572864,131072,65536,65536,0,131072,65536,0
1476251539,1572864,6356992,1245184,327680,393216,131072,196608,131072
1476251541,1572892,4456453,6815744,10289153,131073,5111809,8585218,6619137
1476251541,1573570,12714180,10092550,7864320,0,0,0,0
1476251542,1575510,16122911,15532713,13303966,1310824,3604526,4128796,13107227
1476251544,1573331,4063452,1769498,14942221,720916,10420232,5308420,14352391
1476251544,1573492,1769742,11534402,11927573,14417920,0,0,0
1476251545,1573224,15859746,7929871,5177358,15859717,15073284,1245185,2949120
1476251547,1573664,11796619,15532059,4653110,9109524,7471121,10682387,13041706
1476251547,1573166,13107351,5570615,16580654,15204375,7733255,0,0
1476251548,1573833,2490540,11796552,15270010,5177370,786445,10092548,7077892
1476251549,1572942,7077936,1835022,6291478,9699332,2883586,262146,2490369
1476251550,1573121,13303836,4325393,10944522,12320770,10420226,11010050,12582912
1476251551,1572923,10354782,11993103,196612,9895937,8454144,14221313,65536
1476251553,1572924,10223665,4325380,14417931,9306136,11534339,13107201,4259841
1476251554,1573250,5767342,16121924,13959190,3342361,5046281,5439494,1835011
1476251555,1573120,0,0,0,0,0,0,0
1476251556,1573458,6488235,9568304,8716326,12976137,15466500,8650755,11468803
1476251557,1573315,12452089,12976169,14090268,4587553,8650755,11730955,12845062
1476251558,1573485,9240799,0,0,0,0,0,0
1476251559,1573707,5898400,15990831,10223636,4128803,11337767,10092582,12189704
1476251560,1573147,327899,8192034,14745617,4194313,14483463,10027016,1441796
1476251561,1573339,15794432,15073297,7274496,0,0,0,0
1476251562,1573705,14876740,10354712,13238293,6619148,8454151,8912901,4587522
1476251563,1573022,2490454,6488074,12255240,11468806,1048577,1,11730945
1476251564,1573011,13500460,13500417,16187396,8585216,0,0,0
1476251565,1574646,10092651,14418058,11599893,5242886,11075587,4849673,9502725
1476251566,1573761,12714036,4063277,13107214,4325382,4915206,8978438,3145731
1476251567,1573027,10092917,5701696,1310738,5505031,12451844,0,0
1476251568,1573831,14680636,5570595,2818075,983053,12189705,5505040,5570564
1476251569,1574024,1704144,13107223,15335441,14417928,5308418,14876677,5439491
1476251570,1573465,8650843,6750278,6357047,12058638,11730949,7536645,11796480
1476251571,1572999,6684724,2097162,11206688,14548999,11337730,8060929,5570561
1476251573,1573936,15466781,2031677,6553679,14090256,7602185,5505065,4259859
1476251574,1579422,4326383,196718,7667854,14483492,3014681,131094,8585242
1476251575,1573120,0,0,0,0,0,0,0
1476251576,1578837,12190228,5308482,8192084,15728693,15073312,1966088,14417925
1476251577,1573578,13107862,10813541,1900617,15728675,4587532,2752516,7012358
1476251578,1575737,5506009,0,0,0,0,0,0
1476251579,1576315,15401074,15597599,12582935,2228258,7340039,4718600,6946822
1476251580,1573291,16580737,1507348,7536663,10289164,6488070,8585226,8126466
1476251581,1573073,3014700,12648464,11010048,0,0,0,0
1476251582,1573132,5111927,1835045,14286869,13762577,6029320,13565957,4390915
1476251583,1572952,7602275,6160392,6094858,16515074,2097156,5898241,11403266
1476251584,1573124,15335437,7143433,15007758,1376256,0,0,0
1476251585,1572909,14745729,15925250,8126473,5046273,10092546,6291457,3080192
1476251586,1572961,65592,8912901,6422535,11272193,15925250,7143425,3997697
1476251587,1573287,3276835,3407879,15859719,7274502,2293761,0,0
1476251588,1573209,15335665,2293768,2555923,9699340,11599878,9306117,9633796
1476251589,1573949,6619287,9371766,12976153,75,14155784,1376263,2097155
1476251590,1572916,10354743,10944522,14155786,5308417,4390914,8192002,10551296
1476251591,1573188,12976234,1179663,5570567,16318481,4849666,14876677,196609
1476251593,1573115,6684736,5832725,15728644,6160388,15466499,720897,15204353
1476251594,1573050,10158099,11468844,12713988,6815751,15466500,9502722,13893632
1476251595,1572864,0,0,0,0,0,0,0
1476251596,1573059,3014686,12058655,4325384,3801090,5898242,4915201,1507330
1476251597,1573154,2818306,4259882,11730953,7405584,720901,1900546,6946817
1476251598,1573462,10354756,0,0,0,0,0,0
1476251599,1575916,13631770,6553622,14352452,131091,14090258,12714003,1638403
1476251600,1574148,9306819,15794285,10551359,13369487,9175161,3211287,14876699
1476251601,1578422,7211234,4260305,3932160,0,0,0,0
1476251602,1576138,9832659,15925323,589912,14811285,5898367,10682510,7929884
1476251603,1574490,1572946,12910626,3997754,393276,13369415,11665433,1245198
1476251604,1573703,8912990,14155818,10289186,12779520,0,0,0
1476251605,1576267,7999080,2556537,9306492,4260296,15204667,10223901,14483568
1476251606,1573639,15469816,1048994,7209155,12321868,16384185,12845184,3407887
1476251607,1574878,7995742,2293808,15663166,14417980,13107230,0,0
1476251608,1573663,852352,3932259,12517509,11862113,13107236,16318481,14090247
1476251609,1575311,6553621,3145756,11468820,4259860,12517391,3473429,12779521
1476251610,1575896,8913048,2752542,15663157,9437238,4587553,3670035,7602176
1476251611,1575937,13500588,6291475,4718650,16187463,16711693,13893642,8323077
1476251613,1573351,13828115,12386309,5767176,1245186,6160384,10878976,9830400
1476251614,1581051,2231182,11272988,10092759,6095092,15204429,4522056,4063272
1476251615,1572864,0,0,0,0,0,0,0
1476251616,1572965,2293774,7471107,11665411,4390913,12713985,8126464,9764864
1476251617,1573593,7536723,11993228,7274545,7864361,7274514,14614531,655366
1476251618,1577481,1900728,0,0,0,0,0,0
1476251619,1573090,12451917,4259844,14352391,8716292,6750210,983042,12451841
1476251620,1574065,3276894,8388706,14549110,12910717,1114183,10551310,11403275
1476251621,1573885,10748046,3604589,5898240,0,0,0,0
1476251622,1573192,16449626,5111812,13369347,7012359,7733250,15269889,4915202
1476251623,1573979,5505209,14286883,2818064,2555915,7536651,14680068,3145730
1476251624,1572975,983112,8978448,720905,2621440,0,0,0
1476251625,1573294,6029469,2752513,6357007,3801090,9568259,8912898,131074
1476251626,1573177,655419,12189722,13303820,7340035,13500419,15990785,10747906
1476251627,1573320,4391207,12517413,4390932,10092604,1900551,0,0
1476251628,1573198,15204420,16646150,9961480,14352386,10551299,3407873,7274496
1476251629,1573851,9044355,13893671,7667788,6225932,5898258,12255240,11272200
1476251630,1573135,12451972,12910630,10420234,7077899,1245199,6357003,13172736
1476251631,1573367,15990951,2686994,7733293,11468832,2949130,4653065,8716291
1476251633,1575157,8454179,7667740,11730963,14286859,1245195,11534339,14090244
1476251634,1575214,7472012,14876847,8192069,2228268,1048598,15073299,5898253
1476251635,1572864,0,0,0,0,0,0,0
1476251636,1573259,3342504,9633824,11927570,3473410,16711687,11993095,11862019
1476251637,1573347,1835180,15728654,11010073,983070,10289164,16449542,3997711
1476251638,1573001,9043998,0,0,0,0,0,0
1476251639,1573159,10814023,2752568,9961504,13172741,1638409,4915203,6225922
1476251640,1573198,4325637,6946864,10878995,16121867,16318474,11141125,15466500
1476251641,1573433,6029480,14942289,8585216,0,0,0,0
1476251642,1573791,655574,14549020,6225939,3997716,9961480,12386311,15532037
1476251643,1574357,9568741,2687019,12386329,196623,3670023,10027014,9961483
1476251644,1573968,8519795,2097184,13893671,6356992,0,0,0
1476251645,1576188,6029500,10551380,12845072,9371656,5111842,4259848,4063245
1476251646,1573260,12517416,65574,3080230,1703946,11403274,10027015,6225924
1476251647,1575710,6815879,9306161,2818078,7077912,983060,0,0
1476251648,1575058,12321250,14876899,12845135,14680116,655387,7864340,15597577
1476251649,1574100,328124,720938,4063241,5636124,4718607,7536649,5242888
1476251650,1574073,8520001,6029359,11337759,1179655,7208970,11599875,5636096
1476251651,1573094,524326,3866630,12386318,12386305,14811137,12910593,8847361
1476251653,1572869,16711692,15925268,7340035,14614539,11010077,12124178,3735571
1476251654,1573583,458815,10747976,10682412,10813468,3538975,12648464,7143434
1476251655,1573120,0,0,0,0,0,0,0
1476251656,1573690,11272267,6553610,14286871,2621448,8323083,3145734,16646148
1476251657,1573170,6422921,13565991,3145749,12386314,12845061,1441799,5963777
1476251658,1573633,8913057,0,0,0,0,0,0
1476251659,1579285,1704841,7536743,8454180,6160428,7602204,8912924,14286873
1476251660,1573214,3997930,8454166,5570576,9043978,589832,5767171,8192003
1476251661,1572917,10289214,9502720,13828096,0,0,0,0
1476251662,1572956,3276847,8781850,3473433,9306115,5439491,3211265,10878977
1476251663,1573263,10289170,12451870,7733283,1179683,917510,7077894,11534338
1476251664,1573200,5767253,10747987,12648471,5701632,0,0,0
1476251665,1573401,15269907,458753,8716302,3670020,2490369,13434882,9240576
1476251666,1573704,12189996,14221404,13041703,15466507,9502755,9437211,10092570
1476251667,1573182,8454277,5701648,11206668,8126472,13434890,0,0
1476251668,1573158,917515,2752514,2949136,7733273,11927554,9306113,4194304
1476251669,1573822,16711985,5767357,10092712,13631516,1179669,1114125,7143447
1476251670,1573761,11731185,13631502,1376269,12910623,12058638,262148,2228224
1476251671,1580841,12058914,15991002,6750248,14352425,4653086,10223639,393242
1476251673,1573877,8585522,15925272,2687020,1638424,6094869,8126473,4784132
1476251674,1573452,3670347,4784172,5177365,851985,7602187,16711684,3276805
1476251675,1573120,0,0,0,0,0,0,0
1476251676,1574740,12779583,9175062,13959193,2883611,2949133,11665413,6815750
1476251677,1572894,2031676,6881288,6160389,2293764,2031618,1507329,12124161
1476251678,1572891,11141193,0,0,0,0,0,0
1476251679,1580931,12648941,8912980,12124388,13434961,5505062,5373960,1376261
1476251680,1575079,16646201,6225950,10354742,11010074,14680078,11010060,3604482
1476251681,1573164,3211358,7012356,6684672,0,0,0,0
1476251682,1573954,14549030,9895945,1179651,2293769,9830405,1376262,8978432
1476251683,1578029,4719140,5242966,11272252,6226091,5242933,16515156,9437194
1476251684,1577252,11403468,16449556,5177362,1572864,0,0,0
1476251685,1579088,6098916,6098603,11731982,9962775,11731172,10223794,14876802
1476251686,1579197,2490998,12517427,3997756,12058682,3407939,6684766,6225931
1476251687,1582592,5183111,15139837,8585617,8192507,7995614,0,0
1476251688,1573290,97,9633795,10747913,851978,720908,3145729,8257537
1476251689,1576306,4196664,14091584,8258193,12387782,3801578,11993143,3670038
1476251690,1577775,13631873,15073354,11796547,12648498,13107229,4980756,15007744
1476251691,1573656,1835141,8913033,13303938,14876706,14876686,524302,7864325
1476251693,1573514,8126575,14090264,4456471,14942223,13500422,8585219,4587521
1476251694,1573661,6160460,4259862,7536671,15532041,7077895,5308417,9437184
1476251695,1573376,0,0,0,0,0,0,0
1476251696,1576088,7733301,9240630,3735628,6094908,196641,14549004,3604495
1476251697,1572992,15597680,8192043,4128788,4128790,15925256,2621443,4784129
1476251698,1575248,6750747,0,0,0,0,0,0
1476251699,1573397,14549124,12386330,2818058,8060932,14483460,7929859,6881281
1476251700,1573469,8847386,13369346,1507332,14155781,15400964,16318464,10682369
